neighbourhood_code,neighbourhood,population,housing_units,student_age_share_pct,one_person_household_pct,rental_housing_pct,apartment_housing_pct,average_woz_eur_thousands,distance_large_supermarket_km,supermarket_distance_imputed,balanced_score,balanced_rank,budget_focused_score,budget_focused_rank,student_hub_score,student_hub_rank,housing_availability_score,housing_availability_rank
BU09350000,Binnenstad,2325,1663,52.68817204301075,80.74866310160428,82.0,90.0,326.0,0.4,False,93.8,1,85.8,3,97.4,1,95.3,1
BU09350004,Boschstraatkwartier,1980,1506,33.08080808080808,77.3462783171521,80.0,93.0,236.0,0.3,False,93.4,2,94.9,1,91.1,4,94.5,2
BU09350600,Randwyck,3220,2551,45.49689440993789,77.52577319587628,79.0,82.0,185.0,1.0,False,91.9,3,92.4,2,94.9,2,92.2,3
BU09350003,Statenkwartier,4895,2799,37.487231869254344,77.08628005657708,81.0,79.0,318.0,0.4,False,90.7,4,84.6,5,94.1,3,90.9,4
BU09350005,Sint Maartenspoort,2170,975,30.87557603686636,75.0,86.0,61.0,277.0,0.4,False,84.0,5,85.6,4,83.8,7,84.5,6
BU09350002,Kommelkwartier,2885,1534,34.835355285961874,73.99463806970509,73.0,84.0,337.0,0.6,False,83.7,6,77.5,10,86.4,5,84.8,5
BU09350001,Jekerkwartier,1675,1072,35.52238805970149,75.30364372469636,71.0,75.0,444.0,0.5,False,78.2,7,64.1,19,84.9,6,78.6,8
BU09350006,Wyck,5650,3621,30.265486725663717,70.86330935251799,69.0,91.0,406.0,0.3,False,77.8,8,68.7,17,78.6,8,80.6,7
BU09350200,Brusselsepoort,5235,2506,33.810888252149,70.65368567454799,60.0,62.0,290.0,0.6,True,75.7,9,75.3,14,77.5,9,71.0,12
BU09350400,Wyckerpoort,4070,2418,23.464373464373466,66.03053435114504,75.0,67.0,279.0,0.6,False,71.8,10,77.5,10,67.3,12,75.0,9
BU09350401,Heugemerveld,2840,1539,24.119718309859156,63.53276353276353,73.0,52.0,259.0,0.3,False,71.2,11,79.3,7,66.0,13,70.7,13
BU09350302,Frontenkwartier,475,230,30.526315789473685,65.0,71.0,54.0,350.0,0.6,False,70.4,12,68.2,18,72.3,10,69.9,14
BU09350201,Mariaberg,4940,2629,22.975708502024293,61.513687600644126,82.0,42.0,259.0,0.4,False,69.8,13,79.3,7,64.9,14,71.2,11
BU09350403,Nazareth,3145,1711,17.488076311605724,59.57446808510638,83.0,51.0,220.0,0.4,False,68.4,14,83.2,6,58.8,15,72.6,10
BU09350404,Limmel,2670,918,30.89887640449438,67.05539358600583,67.0,29.0,270.0,0.7,False,68.3,15,73.3,15,70.1,11,62.6,19
BU09350402,Wittevrouwenveld,6055,3008,21.71758876961189,56.60377358490566,72.0,46.0,279.0,0.4,False,63.9,16,72.8,16,58.2,16,64.7,18
BU09350204,Malpertuis,2185,1139,11.899313501144166,51.48936170212766,84.0,58.0,224.0,0.7,False,60.5,17,78.2,9,48.0,19,69.6,15
BU09350205,Caberg,3295,1663,14.112291350531107,51.55807365439094,82.0,43.0,247.0,0.4,False,60.1,18,75.9,12,49.2,18,65.4,17
BU09350203,Pottenberg,2280,1201,10.964912280701755,49.79253112033195,84.0,52.0,217.0,0.9,False,56.8,19,75.9,12,44.7,21,66.3,16
BU09350102,Biesland,1970,1180,23.604060913705585,56.76855895196506,54.0,51.0,421.0,0.6,False,53.0,20,49.9,29,52.9,17,52.3,20
BU09350405,Scharn,6875,3420,21.381818181818183,54.65268676277851,44.0,47.0,368.0,0.7,False,48.2,21,50.8,28,45.8,20,45.2,25
BU09350601,Heugem,4300,2252,15.581395348837209,51.12107623318386,56.0,43.0,294.0,0.9,False,47.2,22,58.8,23,40.3,22,48.5,21
BU09350209,Daalhof,6370,3401,10.282574568288855,47.194244604316545,50.0,47.0,250.0,0.5,False,45.3,23,63.0,21,32.3,26,45.7,24
BU09350602,Heer,7270,3672,14.786795048143054,48.611111111111114,53.0,34.0,292.0,0.7,False,44.7,24,57.6,24,36.9,23,43.9,26
BU09350207,Malberg,5355,2677,8.590102707749766,41.37291280148423,66.0,31.0,257.0,0.4,False,44.5,25,64.1,19,30.9,27,47.6,23
BU09350603,De Heeg,5860,2991,12.372013651877133,47.52,47.0,38.0,266.0,0.6,False,43.1,26,59.1,22,32.6,25,41.5,27
BU09350300,Boschpoort,1590,770,10.062893081761006,51.93370165745856,61.0,45.0,277.0,1.4,False,42.0,27,57.4,25,33.6,24,48.0,22
BU09350202,Belfort,2555,1315,14.481409001956948,48.25174825174825,21.0,45.0,283.0,0.5,False,38.2,28,51.3,26,28.5,28,30.4,29
BU09350206,Oud-Caberg,1940,1060,8.505154639175258,42.93478260869565,44.0,46.0,302.0,0.8,False,35.9,29,51.1,27,24.3,30,37.7,28
BU09350100,Villapark,3160,1621,15.348101265822784,46.52567975830816,30.0,38.0,604.0,0.4,False,28.4,30,21.5,34,27.2,29,25.6,30
BU09350406,Amby,6540,2792,15.061162079510703,39.413680781758956,31.0,21.0,411.0,0.7,False,27.3,31,32.9,31,23.0,31,22.3,31
BU09350501,Borgharen,1705,848,10.263929618768328,38.63636363636363,33.0,16.0,289.0,3.8,False,21.1,32,38.7,30,14.6,33,19.4,33
BU09350103,Campagne,1280,620,8.203125,43.442622950819676,30.0,42.0,494.0,1.3,False,18.6,33,19.6,35,14.9,32,21.2,32
BU09350104,Wolder,1450,673,8.620689655172415,30.597014925373134,32.0,13.0,396.0,0.9,False,17.2,34,28.6,32,9.6,37,15.0,35
BU09350604,Vroendaal,1045,421,11.483253588516746,28.571428571428573,28.0,29.0,620.0,0.6,False,16.3,35,13.6,37,12.7,34,15.6,34
BU09350208,Dousberg-Hazendans,1855,713,14.555256064690028,19.205298013245034,10.0,9.0,438.0,1.3,False,13.0,36,18.5,36,11.2,35,7.8,37
BU09350101,Jekerdal,1215,557,11.934156378600823,35.08771929824562,24.0,10.0,543.0,0.8,False,12.4,37,10.8,38,11.1,36,8.2,36
BU09350502,Itteren,920,436,8.152173913043478,33.333333333333336,17.0,6.0,348.0,3.3,False,10.2,38,25.2,33,4.4,38,6.8,38
